Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,2,1.2385300000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,3,1.26686
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,4,1.287
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,5,1.32667
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,6,1.32667
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,7,1.32667
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,8,1.32667
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,9,1.3425700000000003
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,10,1.3425700000000003
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,11,1.3931900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,12,1.3931900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,13,1.3931900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,14,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,15,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,16,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,17,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,18,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,19,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,20,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,21,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,22,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,23,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,24,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,25,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,26,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,27,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,28,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,29,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,30,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,31,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,32,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,33,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,34,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,35,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,36,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,37,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,38,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,39,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,40,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,41,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,42,1.4493800000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,43,1.45581
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,44,1.45581
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,45,1.45581
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,46,1.45581
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,47,1.45581
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,48,1.45581
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,49,1.4565299999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,5,50,1.4565299999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,1,1.2471
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,2,1.2471
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,3,1.2471
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,4,1.2489599999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,5,1.2769
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,6,1.37786
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,7,1.37786
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,8,1.37786
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,9,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,10,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,11,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,12,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,13,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,14,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,15,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,16,1.38
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,6,17,1.38
